track_number,track_popularity,explicit,artist_popularity,artist_followers,artist_genres,album_id,album_release_date,album_total_tracks,album_type,track_duration_min,release_year,release_month
4,0,True,77,2812821,moombahton,5QRFnGnBeMGePBKF2xTz5z,2025-10-31,9,album,1.55,2025,10
1,0,True,64,2363438,"country hip hop, southern hip hop",4SUmmwnv0xTjRcLdjczGg2,2025-10-31,1,single,3.07,2025,10
1,4,True,48,193302,,3E3zEAL8gUYWaLYB9L7gbp,2025-10-31,1,single,2.55,2025,10
8,30,True,77,2813710,moombahton,5QRFnGnBeMGePBKF2xTz5z,2025-10-31,9,album,1.69,2025,10
2,0,True,48,8682,dark r&b,06FDIpSHYmZAZoyuYtc7kd,2025-10-30,2,single,2.39,2025,10
1,2,False,46,7218,dark r&b,2NQv9p3ZQW0Ed1LB9enix8,2025-10-30,3,single,2.76,2025,10
1,20,False,30,1657,,1PpuOsLjPWshDLxkr0oHeU,2025-10-30,1,single,4.12,2025,10
1,27,False,49,8802,dark r&b,06FDIpSHYmZAZoyuYtc7kd,2025-10-30,2,single,2.53,2025,10
1,16,False,6,475,,60DLQZkzpvDvVfvEC6VOJM,2025-10-30,2,single,2.92,2025,10
1,33,True,48,154802,"nigerian drill, alté, afro adura, afrobeats, afrobeat, afroswing",3ARxksm8CspGeAaZZB1v2w,2025-10-28,1,single,2.4,2025,10
1,30,False,25,814,,0DHsJaaMzbygWosCjYk37t,2025-10-25,4,single,2.49,2025,10
1,48,False,46,13826,c-pop,54XcHEnJ2BKMOzkeRrRubu,2025-10-24,14,album,2.89,2025,10
5,65,False,85,11137714,,115s3YJqm6iLblABdjtgzQ,2025-10-24,12,album,4.41,2025,10
2,0,True,17,3567,,0liPj9Le4hvoMJQhYOi5kP,2025-10-24,6,single,2.05,2025,10
11,27,False,46,13590,c-pop,54XcHEnJ2BKMOzkeRrRubu,2025-10-24,14,album,4.25,2025,10
2,67,True,74,735818,,6ph5zbGAudn0EKyw3vXbXM,2025-10-24,7,single,2.75,2025,10
1,31,False,23,1518,,7IE6vOcDUge35P3SGJhzJk,2025-10-24,1,single,2.73,2025,10
3,33,False,46,13826,c-pop,54XcHEnJ2BKMOzkeRrRubu,2025-10-24,14,album,2.92,2025,10
1,11,False,3,364,,0urpaXU8WR1FqEEvaD1UaN,2025-10-24,1,single,2.91,2025,10
1,30,False,23,13770,,28UXdTnzMDGwX0Lu2xi5Xo,2025-10-24,1,single,2.43,2025,10
1,35,False,35,729,,2elo6qnwOjghfLHF1V1Fo5,2025-10-24,1,single,2.91,2025,10
1,52,False,67,3134186,"pop punk, emo",6KhlAeMS2m3pCXpKcOH4f9,2025-10-24,4,single,3.78,2025,10
1,22,False,17,543,,4qztrns4MDwGFLHsWmFoB8,2025-10-24,3,single,4.26,2025,10
2,59,True,74,1378935,,75FM00r9Lgdi0YHv7vvzzB,2025-10-24,14,album,2.82,2025,10
1,1,True,24,166,,2oLtKEcuXiyWnsuHIUlNTF,2025-10-24,1,single,2.62,2025,10
14,32,False,46,13826,c-pop,54XcHEnJ2BKMOzkeRrRubu,2025-10-24,14,album,3.26,2025,10
1,32,True,23,1982,,5ywdzunlKaIQX3nEt0iGAk,2025-10-24,1,single,2.89,2025,10
1,35,False,25,722,,1a8W5aTsPfvsHhEG4xrdrH,2025-10-24,2,single,2.4,2025,10
1,34,False,32,1496,,21HfXluFe7g9btMxurTERv,2025-10-24,1,single,3.58,2025,10
1,2,False,6,84,,7zczAwbjqQLYRHG3Dsv2CC,2025-10-24,1,single,3.85,2025,10
1,31,False,34,1693,,4lsCek3wJDt94Ckqt4EBe7,2025-10-24,1,single,2.37,2025,10
1,42,False,45,27570,,3sco42g8ybU4RLqlVMurLE,2025-10-23,1,single,3.25,2025,10
1,25,False,20,1073,,26dDnkGL1FF3z1AsEBad3p,2025-10-22,1,single,3.07,2025,10
1,25,False,30,2891,,4nqRc4Bxdhrr49RmHWkFus,2025-10-21,5,single,2.41,2025,10
2,13,False,30,2896,,4nqRc4Bxdhrr49RmHWkFus,2025-10-21,5,single,1.48,2025,10
1,31,False,18,200,,2kepsE9qO2QRTLCsF1byjn,2025-10-20,1,single,3.26,2025,10
5,6,False,13,119,,179fPnGB9pMjUUH2pT02o0,2025-10-19,9,album,3.94,2025,10
2,29,False,27,54636,,4Z53gLriAjTmR7DQr1LRY4,2025-10-17,3,single,2.95,2025,10
1,52,False,58,146944,slap house,1jO43qFvbxg7hdp2LgMmyw,2025-10-17,1,single,2.37,2025,10
3,80,True,84,9509731,"neo-psychedelic, indie",5WulAOx9ilWy1h8UGZ1gkI,2025-10-17,12,album,3.42,2025,10
1,51,True,77,2812337,moombahton,5oq9z5XNldcl7wTiEamVvo,2025-10-17,4,single,2.88,2025,10
